Unnamed: 0,name,type,state,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
252,Sakushin Gakuin University,Private,Tochigi Ken,1989-04,4,7,True,False,3.83,45.0,36.5,7
253,International University of Health And Welfare,Private,Tochigi Ken,1994-12,16,20,True,False,3.92,408.0,44.2,5
254,Utsunomiya Kyowa University,Private,Tochigi Ken,1999-04,2,2,False,False,3.87,21.0,35.5,7
255,Bunsei University of Art,Private,Tochigi Ken,1998-12,2,2,True,False,3.8,12.0,36.0,7
256,Jichi Medical University,Private,Tochigi Ken,1972-02,4,7,True,False,4.1,64.0,58.0,3
257,Dokkyo Medical University,Private,Tochigi Ken,1972-07,5,9,True,False,3.95,63.0,57.0,3
258,Ikuei University,Private,Gunma Ken,2017-08,1,1,False,False,3.81,5.0,36.5,7
259,Kiryu University,Private,Gunma Ken,2007-12,2,3,False,False,3.43,35.0,38.8,7
260,Gunma Paz University,Private,Gunma Ken,2004-11,5,8,True,False,3.79,49.0,43.2,6
261,Gunma University of Health And Welfare,Private,Gunma Ken,2001-12,5,5,True,False,3.49,73.0,41.5,6
262,Takasaki University of Health And Welfare,Private,Gunma Ken,2000-12,9,15,True,False,3.76,139.0,43.1,6
263,Takasaki University of Commerce,Private,Gunma Ken,2001-04,2,3,True,False,3.85,41.0,40.0,6
264,Jobu University,Private,Gunma Ken,1968-03,3,4,True,False,3.6,54.0,36.7,7
265,Kanto Gakuen University,Private,Gunma Ken,1976-01,1,2,False,False,3.72,63.0,36.0,7
266,KYOAI GAKUEN UNIVERSITY,Private,Gunma Ken,1998-12,1,1,False,False,3.96,92.0,39.8,6
267,Nihon Institute of Medical Science,Private,Saitama Ken,2006-11,1,5,False,False,3.16,64.0,39.2,6
268,Nihon Pharmaceutical University,Private,Saitama Ken,2003-11,2,3,True,False,3.44,84.0,36.7,7
269,Musashino Gakuin University,Private,Saitama Ken,2003-11,2,3,True,False,3.71,17.0,35.5,7
270,Urawa University,Private,Saitama Ken,2002-12,2,4,False,False,4.04,54.0,35.5,7
271,Institute of Technologists,Private,Saitama Ken,2001-04,2,3,True,False,3.83,51.0,35.5,7
272,Kyoei University,Private,Saitama Ken,2000-12,3,3,False,False,3.53,51.0,39.0,7
273,Saitama Gakuen University,Private,Saitama Ken,2000-12,5,7,True,False,3.65,85.0,38.8,7
274,Shobi University,Private,Saitama Ken,1999-12,5,10,True,False,3.65,131.0,35.0,7
275,University of Human Arts And Sciences,Private,Saitama Ken,1999-12,4,6,True,True,3.61,62.0,36.1,7
276,Bunri University of Hospitality,Private,Saitama Ken,1998-12,2,3,False,False,3.49,78.0,35.5,7
277,Jumonji University,Private,Saitama Ken,1996-04,5,14,True,False,3.81,229.0,37.4,7
278,Heisei International University,Private,Saitama Ken,1995-12,3,4,True,False,3.74,32.0,35.5,7
279,Tokyo International University,Private,Saitama Ken,1965-01,11,15,True,False,3.96,424.0,36.7,7
280,Josai University,Private,Saitama Ken,1965-01,10,17,True,False,3.52,275.0,37.4,7
282,Dokkyo University,Private,Saitama Ken,1964-04,7,16,True,False,3.95,682.0,50.4,4
283,Nippon Institute of Technology,Private,Saitama Ken,1967-03,6,13,True,False,3.66,117.0,36.9,7
284,Meikai University,Private,Saitama Ken,1970-03,11,13,True,False,3.77,234.0,39.5,6
285,Saitama Medical University,Private,Saitama Ken,1972-02,4,10,True,False,3.8,79.0,46.7,5
286,Saitama Institute of Technology,Private,Saitama Ken,1976-01,4,10,True,False,3.59,79.0,35.5,7
287,Surugadai University,Private,Saitama Ken,1986-12,8,11,True,False,3.75,154.0,42.1,6
288,Seigakuin University,Private,Saitama Ken,1988-04,6,8,True,False,3.7,71.0,35.5,7
289,Kagawa Nutrition University,Private,Saitama Ken,1961-03,2,5,True,False,4.12,223.0,43.3,6
290,Tohto University,Private,Saitama Ken,2008-10,4,4,False,False,3.46,40.0,36.0,7
291,Japan University of Health Sciences,Private,Saitama Ken,2009-10,1,2,False,False,3.33,24.0,35.5,7
292,Chiba Institute of Science,Private,Chiba Ken,2003-11,7,12,True,False,3.31,73.0,37.4,7
293,Aikoku Gakuen University,Private,Chiba Ken,1997-12,1,1,False,False,3.68,11.0,38.0,7
294,Kaichi International University,Private,Chiba Ken,1999-12,3,3,False,False,4.07,23.0,35.7,7
295,Seiwa University,Private,Chiba Ken,1993-12,1,1,False,False,3.19,27.0,37.5,7
296,Josai International University,Private,Chiba Ken,1991-12,14,20,True,False,3.61,247.0,38.9,7
297,Shukutoku University,Private,Chiba Ken,1965-01,8,14,True,False,3.81,307.0,40.4,6
298,Keiai University,Private,Chiba Ken,1966-01,3,4,False,False,3.74,69.0,37.8,7
299,Chiba Institute of Technology,Private,Chiba Ken,1942-05,10,32,True,False,3.75,361.0,46.2,5
300,Chiba University of Commerce,Private,Chiba Ken,1928-02,9,11,True,False,3.69,213.0,43.4,6
301,Chuogakuin University,Private,Chiba Ken,1966-01,4,4,True,False,3.76,119.0,38.2,7
302,Reitaku University,Private,Chiba Ken,1942-04,6,9,True,False,3.81,118.0,39.3,6
303,Wayo Women’s University,Private,Chiba Ken,1928-10,6,12,True,False,4.05,199.0,37.7,7
304,International Budo University,Private,Chiba Ken,1983-12,3,4,True,False,3.59,53.0,37.8,7
305,Kanda University of International Studies,Private,Chiba Ken,1987-04,4,9,True,False,4.05,334.0,45.2,5
306,Chiba Keizai University,Private,Chiba Ken,1987-12,2,3,True,False,3.65,72.0,43.0,6
307,Shumei University,Private,Chiba Ken,1987-12,5,5,False,False,3.93,84.0,40.9,6
308,Kawamura Gakuen Woman’s University,Private,Chiba Ken,1987-12,4,11,True,False,3.51,79.0,37.6,7
309,Tokyo University of Information Sciences,Private,Chiba Ken,1988-04,3,3,True,False,3.83,104.0,41.5,6
311,Seitoku University,Private,Chiba Ken,1989-12,18,25,True,True,3.6,350.0,37.9,7
312,Edogawa University,Private,Chiba Ken,1989-12,2,6,False,False,3.57,111.0,42.4,6
313,Ryotokuji University,Private,Chiba Ken,2005-12,1,3,False,False,3.66,54.0,39.3,6
314,Uekusa Gakuen University,Private,Chiba Ken,2007-12,2,2,False,False,3.88,62.0,36.2,7
315,Saniku Gakuin College,Private,Chiba Ken,2007-12,2,2,True,False,4.08,14.0,38.0,7
316,Kameda University of Health Sciences,Private,Chiba Ken,2011-10,2,2,True,False,3.31,8.0,35.0,7
317,Tokyo University of Social Welfare,Private,Gunma Ken,1999-12,14,15,True,True,3.82,367.0,35.5,7
318,Atomi University,Private,Tokyo To,1965-01,6,11,True,False,3.83,323.0,41.1,6
319,Bunkyo University,Private,Tokyo To,1966-01,14,25,True,False,3.89,676.0,46.7,5
320,Bunkyo Gakuin University,Private,Tokyo To,1990-12,9,16,True,False,3.74,242.0,36.9,7
321,Mejiro University,Private,Tokyo To,1993-12,15,27,True,False,3.51,362.0,39.4,6
322,Tokyo Seitoku University,Private,Tokyo To,1992-12,6,9,True,False,3.87,118.0,38.0,7
323,Toyo Gakuen University,Private,Tokyo To,1992-04,4,5,True,False,3.54,99.0,38.3,7
324,Teikyo Heisei University,Private,Tokyo To,1986-12,12,30,True,True,3.8,669.0,40.7,6
325,Aoyama Gakuin University,Private,Tokyo To,1949-04,22,52,True,False,4.03,1871.0,60.2,2
327,Otsuma Women’s University,Private,Tokyo To,1949-03,6,15,True,False,3.95,613.0,44.4,5
328,Gakushuin University,Private,Tokyo To,1877-10,12,38,True,False,4.11,805.0,56.8,3
329,Kitasato University,Private,Tokyo To,1962-04,14,27,True,False,3.98,621.0,46.6,5
330,Kyoritsu Women’s University,Private,Tokyo To,1928-10,9,16,True,False,3.92,489.0,45.7,5
331,Keio University,Private,Tokyo To,1890-01,28,59,True,True,4.19,2682.0,66.3,1
332,Kogakuin University,Private,Tokyo To,1944-03,7,24,True,False,3.64,249.0,56.0,3
334,Kokushikan University,Private,Tokyo To,1929-04,17,29,True,False,3.75,503.0,44.7,5
335,Komazawa University,Private,Tokyo To,1882-10,16,32,True,False,3.73,990.0,52.1,4
336,Jissen Women’s University,Private,Tokyo To,1925-01,6,15,True,False,3.92,375.0,45.8,5
337,Shibaura Institute of Technology,Private,Tokyo To,1927-07,5,28,True,False,3.94,376.0,53.5,4
338,Juntendo University,Private,Tokyo To,1944-04,10,15,True,False,4.07,276.0,53.9,4
339,Sophia University,Private,Tokyo To,1913-03,20,57,True,False,4.2,1120.0,62.3,2
340,Showa University,Private,Tokyo To,1928-04,9,15,True,False,3.91,216.0,53.9,4
341,Showa Women’s University,Private,Tokyo To,1946-04,9,25,True,False,3.94,549.0,51.6,4
